Release Order,Timeline Order,Type,Title,Release Month,Release Year,Timeline Month,Timeline Year,Notes
199,279,Flashback - Netflix,"Luke Cage S1, E4",September,2016,July,2013,Carl Lucas is let out of solitary and becomes friends with Squabbles
200,280,Flashback - Netflix,"Luke Cage S1, E10",September,2016,July,2013,Reva records a video discussing how Carl Lucas's friendship with Squabbles can be used to her advantage
326,281,Flashback - Netflix,"Punisher S2, E4",January,2019,July,2013,Russo reflects on the impact of his abuse with Castle
201,282,Flashback - Netflix,"Luke Cage S1, E4",September,2016,August,2013,Reva and Carl Lucas' friendship begins to grow stronger
202,283,Flashback - Netflix,"Luke Cage S1, E4",September,2016,August,2013,Rackham forces Carl Lucas to begin fighting for him
106,284,MV - Animated,"Hulk and the Agents of S.M.A.S.H., S1 - S2",August,2013,August,2013,"2013-2015, 2 seasons, 52 episodes"
107,285,ABC TV,"Agents of S.H.I.E.L.D, S1, E1-7",September,2013,Sep - Nov,2013,
252,286,Flashback - Netflix,"Punisher S1, E13",November,2017,September,2013,The Castle family spends time at the park with Russo
253,287,Flashback - Netflix,"Punisher S1, E1",November,2017,September,2013,Frank teaches his dauighter to play guitar
254,288,Flashback - Netflix,"Punisher S1, E2",November,2017,September,2013,Frank takes his kids on a boat tour of Ellis Island
255,289,Flashback - Netflix,"Punisher S1, E3",November,2017,September,2013,Russo and Castle are put in charge of Operation Cerberus
165,290,Flashback - Netflix,"Jessica Jones S1, E5",November,2015,September,2013,Jessica meets Kilgrave and is controlled by him
203,291,Flashback - Netflix,"Luke Cage S1, E4",September,2016,October,2013,Reva expresses concern for Carl Lucas after his injuries from fighting
204,292,Flashback - Netflix,"Luke Cage S1, E10",September,2016,October,2013,Reva records a video discussing how Carl Lucus may be ready for experimentation
205,293,Flashback - Netflix,"Luke Cage S1, E4",September,2016,October,2013,"Carl Lucas is attacked by Shades and Comanche, is experimented upon, escapes prison, and changes his name"
290,294,Flashback - Netflix,"Luke Cage S2, E7",June,2018,October,2013,Carl Lucas and Reva spend time together
166,295,Flashback - Netflix,"Jessica Jones S1, E10",November,2015,October,2013,Jessica considers jumping off a roof to escape Kilgrave
167,296,Flashback - Netflix,"Jessica Jones S1, E1",November,2015,October,2013,Kilgrave celebrates his one month anniversary with Jessica
108,297,MV - Lego Game,LEGO Marvel Superheroes,October,2013,October,2013,"PS3, Xbox 360, Wii U, PS4, Xbox One, Windows, Mac OS X, IOS, Android, DS, 3DS, PS Vita, Switch"
113,298,MCU Movie,Thor: The Dark World,November,2013,November,2013,Everything after the opening scene
348,299,Flashback,Avengers: Endgame,April,2019,November,2013,We learn about Jane and Frigga in Asgard during the time heist
109,300,MV - Lego Shorts,LEGO Marvel Superheroes - Maximum Overload,November,2013,November,2013,
115,301,ABC TV,"Agents of S.H.I.E.L.D, S1, E8-12",November,2013,Nov - Dec,2013,
101,302,MCU Movie,Iron Man 3,May,2013,December,2013,The main events of Iron Man 3 occur
116,303,ABC TV,"Agents of S.H.I.E.L.D, S1, E13-16",February,2014,Dec - Mar,2013 - 2014,
102,304,Post-Credit,Iron Man 3,May,2013,January,2014,Tony retells all of the events in Iron Man 3 to a sleepy Bruce Banner
168,305,Flashback - Netflix,"Jessica Jones S1, E6",November,2015,January,2014,Kilgrave makes Jessica dig up the evidence of the experimentation that was done on him as a child
169,306,Flashback - Netflix,"Jessica Jones S1, E3",November,2015,January,2014,"Kilgrave commands Jessica to kill Reva and Kilgrave is nearly killed in a bus crash, freeing Jessica of his control"
291,307,Flashback - Netflix,"Luke Cage S2, E7",June,2018,January,2014,Luke Cage attends Reva's funeral
377,308,Flashback,"WandaVision, S1, E8",January,2021,January,2014,Wanda is experimented on with the mind stone
450,309,Flashback,Thor: Love and Thunder,July,2022,Jan - Mar,2014-2015,Thor and Jane date
114,310,One Shot,All Hail the King,November,2013,Feb,2014,
124,311,MCU Movie,Captain America: The Winter Soldier,April,2014,March,2014,
125,312,ABC TV,"Agents of S.H.I.E.L.D, S1, E17-22",April,2014,March,2014,
404,313,Flashback,Shang Chi,September,2021,April,2014,Shang Chi leaves his father and moves to America
256,314,Flashback - Netflix,"Punisher S1, E3",November,2017,April,2014,The assassination of Ahmad Zubair
137,315,ABC TV,"Agents of S.H.I.E.L.D, S2, E1-19",September,2014,May - Apr,2014-2015,
126,316,MV - Game,The Amazing Spider-Man 2,April,2014,April,2014,"IOS, Android, Playstation 3, Xbox 360, Playstation 4, Wii U, Microsoft, Nintendo 3DS, Xbox One"
292,317,Flashback - Netflix,"Luke Cage S2, E5",June,2018,June,2014,Misty Knight gets hints that her partner Rafael might be a dirty cop as he seems to be planting evidence
293,318,Flashback - Netflix,"Luke Cage S2, E5",June,2018,July,2014,Misty Knight consoles her partner Rafael after the accidental death of his son; Rafael feels God is punishing him for his sins
136,319,MCU Movie,Guardians of the Galaxy,August,2014,August,2014,
349,320,Flashback,Avengers: Endgame,April,2019,August,2014,"We learn about Gamora, Nebula, Thanos and Ronan during the time heist"
350,321,Flashback,Avengers: Endgame,April,2019,August,2014,We learn about the Red Skull during the time heist
148,322,Flashback - Netflix,"Daredevil S1, E10",April,2015,August,2014,Matt and Foggy choose to form their own firm
456,323,MCU Show,"I Am Groot, S1, E1",August,2022,September,2014,
232,324,MCU Movie,Guardians of the Galaxy 2,May,2017,October,2014,Quill and Groot mid-credit scene happens right before “Avengers: Infinity War”
457,325,MCU Show,"I Am Groot, S1, E2-5",August,2022,Oct - Nov,2014,
257,326,Flashback - Netflix,"Punisher S1, E3",November,2017,November,2014,The ill-fated mission in Kandahar 
485,327,MCU Show,"I Am Groot, S2",September,2023,December,2014,
149,328,Flashback - Netflix,"Daredevil S1, E10",April,2015,January,2015,Nelson and Murdock are established
150,329,Netflix Shows,Daredevil S1,April,2015,Jan - Feb,2015,
221,330,Flashback - Netflix,"Iron Fist S1, E2",March,2017,March,2015,Danny meditates in the mountains and sees a hawk
305,331,Flashback - Netflix,"Iron Fist S2, E2",September,2018,March,2015,Danny and Davos fight for the right to battle the serpent Shou-Lao
306,332,Flashback - Netflix,"Iron Fist S2, E5",September,2018,March,2015,Davos’ mother tells him of her shame at his loss to Danny in combat
170,333,Netflix Shows,Jessica Jones S1,November,2015,Mar - Apr,2015,
222,334,Flashback - Netflix,"Iron Fist S1, E13",March,2017,March,2015,Danny battles the serpent Shou-Lao 
223,335,Flashback - Netflix,"Iron Fist S1, E13",March,2017,March,2015,Davos finds Danny after his battle against Shou-Lao
307,336,Flashback - Netflix,"Iron Fist S2, E10",September,2018,March,2015,Danny is brought back by Davos after his battle 
451,337,Flashback,Thor: Love and Thunder,July,2022,Apr - Jul,2015,Jane gets recognition for her work
151,338,MCU Movie,Avengers: Age of Ultron,May,2015,Apr – May,2015,
258,339,Flashback - Netflix,"Punisher S1, E13",November,2017,April,2015,The Castle family spends time in the park before all but Frank are killed
378,340,Flashback,"WandaVision, S1, E8",January,2021,May,2015,Wanda mourns Pietro and bonds with Vision at Avengers Compound
152,341,ABC TV,"Agents of S.H.I.E.L.D, S2, E20-22",May,2015,May,2015,
185,342,MV - One Shot,"Team Thor, Part 1",September,2016,Jun - Jun,2015 - 2016,
154,343,News,"WHIH Newsfront, S1",July,2015,July,2015,
157,344,Flashback,Ant-Man,July,2015,July,2015,Luis retells the story of how he learned about Hank Pym's vault
158,345,MCU Movie,Ant-Man,July,2015,July – Aug,2015,
159,346,MV - Shorts,"Guardians of the Galaxy Shorts, S1 - S2",August,2015,August,2015,"2015-2017, 2 seasons, 11 episodes"
92,347,MV - Movie,Ghost Rider Spirit of Vengeance,February,2012,September,2015,
224,348,Flashback - Netflix,"Iron Fist S1, E11",March,2017,September,2015,"Danny and Davos guard the entrance to K'un-Lun, as Danny becomes destracted thinking about life in the outside world"
161,349,MV - Animated,"Guardians of the Galaxy, S1 - S3",September,2015,September,2015,"2015-2018, 3 seasons, 79 episodes"
518,350,MV - Animated,"Your Friendly Neighborhood Spider-Man, S1, E1",January,2025,September,2015,"2025-2025, 1 season, 10 episodes (opening scene)"
515,351,MV - Comics,"Your Friendly Neighborhood Spider-Man, Issues 1-5",December,2024,Sep - Oct,2015,"2024-2025, 5 issues"
178,352,Netflix Shows,Daredevil S2,March,2016,Oct - Dec,2015,
259,353,Flashback - Netflix,"Punisher S1, E3",November,2017,October,2015,"Micro is ""killed"" due to receiving the Cerberus disk"
160,354,MV - DP&W,Fant4stic,August,2015,Oct - Nov,2015,
171,355,MV - Lego Shorts,LEGO Marvel Superheroes - Avengers Reassembled,November,2015,November,2015,
162,356,ABC TV,"Agents of S.H.I.E.L.D, S3, E1-19",September,2015,Nov - Jun,2015-2016,
206,357,Netflix Shows,Luke Cage S1,September,2016,Nov - Dec,2015,
172,358,MV - TV Movie,Marvel Superheroes Adventures: Frost Fight!,December,2015,December,2015,
317,359,Flashback - Netflix,"Daredevil S3, E1",October,2018,December,2015,Matt tells Karen he’s done being Daredevil 
240,360,Flashback - Netflix,"Defenders S1, E3",August,2017,December,2015,Elektra is resurrected
260,361,Flashback - Netflix,"Punisher S1, E1",November,2017,Jan - May,2016,"Punisher cleans up ""'loose ends"" regarding the three gangs that were there when his family was killed"
174,362,MV - Lego Game,LEGO Avengers,January,2016,January,2016,"PlayStation 3, Xbox 360, Wii U, Playstation 4, Xbox One, Microsoft Windows, Mac OS X, Playstation Vita, Nintendo 3DS"
225,363,Flashback - Netflix,"Iron Fist S1, E11",March,2017,January,2016,Danny leaves K'un-Lun
208,364,MCU Movie,Doctor Strange,November,2016,February,2016,Kaecilius’ Forbidden Rituals and Stephen Strange's accident
308,365,Flashback - Netflix,"Iron Fist S2, E5",September,2018,February,2016,Davos says goodbye to his mother and seeks out Danny Rand
215,366,News,New York Bulletin: Joy & Ward Meachum Special Report,March,2017,February,2016,
226,367,Netflix Shows,Iron Fist S1,March,2017,Feb - Mar,2016,
519,368,MV - Animated,"Your Friendly Neighborhood Spider-Man, S1, E1-10",January,2025,March,2016,"2025-2025, 1 season, 10 episodes (all but the opening scene of Episode 1)"
175,369,X-verse,Deadpool,February,2016,April,2016,Revised timeline after Days of Future Past
179,370,News,"WHIH Newsfront, S2",April,2016,Apr - May,2016,"Note: after the first few episodes, it runs parallel to the events of Civil War"
241,371,Netflix Shows,Defenders S1,August,2017,May,2016,
318,372,Flashback - Netflix,"Daredevil S3, E1",October,2018,May,2016,Matt’s unconscious body is washed out a drainpiipe and then discovered 
181,373,MCU Movie,Captain America: Civil War,May,2016,May - Jun,2016,Epilogue happens after “Black Widow”
361,374,Flashback,Spider-man: Far From Home,July,2019,May,2016,Quentin Beck watches Tony reveal his B.A.R.F technology
395,375,MCU Movie,Black Widow,July,2021,June,2016,Post credit scene happens after opening scene of “Hawkeye” Episode 4
182,376,Post-Credit,Captain America: Civil War,May,2016,June,2016,Epilogue
236,377,MCU Movie,Spider-man: Homecoming,July,2017,June,2016,Opening with Tony and Peter
183,378,ABC TV,"Agents of S.H.I.E.L.D, S3, E20-22",May,2016,"Jun, Dec",2016,
268,379,MCU Movie,Black Panther,February,2018,June – July,2016,
452,380,Flashback,Thor: Love and Thunder,July,2022,Jul - Oct,2016,Thor and Jane's slow break-up begins
243,381,ABC TV,Inhumans S1,September,2017,August,2016,
237,382,MCU Movie,Spider-man: Homecoming,July,2017,September,2016,All but the opening of the movie
210,383,ABC TV,Agents of S.H.I.E.L.D: Slingshot,December,2016,September,2016,
209,384,MCU Movie,Doctor Strange,November,2016,Sep - Jan,2016-2017,Dr. Strange training at Kamar Taj and then fighting Dormammu
207,385,MV - TV Movie,Hulk: Where Monsters Dwell,October,2016,October,2016,
212,386,MV - One Shot,"Team Thor, Part 2",February,2017,November,2016,
261,387,Netflix Shows,Punisher S1,November,2017,Nov - Dec,2016,
327,388,Flashback - Netflix,"Punisher S2, E7",January,2019,January,2017,Madani gives her official statement regarding the events in Punisher S1
371,389,X-verse,New Mutants,August,2020,February,2017,Revised timeline after Days of Future Past
214,390,X-verse,No Good Deed,March,2017,March,2017,Revised timeline after Days of Future Past
213,391,X-verse,Logan,March,2017,March,2029,Revised timeline after Days of Future Past; this is placed here becuase Deadpool becomes aware of the movie at this point
286,392,Hulu / Freeform,"Cloak & Dagger, S1",June,2018,Feb - Mar,2017,
186,393,ABC TV,"Agents of S.H.I.E.L.D, S4, E1-22",September,2016,Mar - May,2017,
279,394,Netflix Shows,Jessica Jones S2,March,2018,Apr - Jun,2017,
263,395,ABC TV,"Agents of S.H.I.E.L.D, S5, E1-10",December,2017,May - Nov,2017,Episodes 1-4 and 6-10 occur in 2091
234,396,MV - Shorts,"Avengers Assemble Shorts, S1",June,2017,June,2017,"2017, 1 season, 6 episodes"
355,397,Flashback - Netflix,"Jessica Jones S3, E2",June,2019,June,2017,Trish tests out her new abilities and trains to improve them so she can become a hero
328,398,Flashback - Netflix,"Punisher S2, E4",January,2019,July,2017,Russo has therapy sessions with Krista Dumont
242,399,MV - Animated,"Spider-Man, S1 - S3",August,2017,August,2017,"2017-2019, 3 seasons, 58 episodes"
294,400,Netflix Shows,Luke Cage S2,June,2018,Aug - Sep,2017,
309,401,Netflix Shows,Iron Fist S2,September,2018,October,2017,
343,402,Hulu / Freeform,"Cloak & Dagger, S2",April,2019,Oct - Dec,2017,
262,403,Hulu / Freeform,Runaways S1,November,2017,October,2017,
356,404,Flashback - Netflix,"Jessica Jones S3, E2",June,2019,Oct - Apr,2017-2018,"Trish begins her crime fighting career, chooses her disguise, and eventually runs into Jessica while tracking down a criminal"
319,405,Netflix Shows,Daredevil S3,October,2018,Oct - Nov,2017,
322,406,Hulu / Freeform,Runaways S2,December,2018,Oct - Nov,2017,
368,407,Hulu / Freeform,Runaways S3,December,2019,Nov - May,2017-2018,"Finale starts in Jun, 2028 and time jumps to May, 2021, Oct, 2017 and May, 2018"
249,408,MCU Movie,Thor: Ragnarok,November,2017,November,2017,First post credit scene happens right before “Avengers: Infinity War”
245,409,MV - Lego Game,LEGO Marvel Superheroes 2,November,2017,November,2017,"Playstation 4, Xbox One, Nintendo Switch, Microsoft Windows, mac OS"
246,410,MV - Lego Shorts,LEGO Marvel Superheroes: The Thanos Threat,November,2017,November,2017,
271,411,MV - One Shot,Team Darryl,March,2018,Dec - Feb,2017-2018,
269,412,ABC TV,"Agents of S.H.I.E.L.D, S5, E11-13",March,2018,December,2017,
387,413,Flashback,"The Falcon and the Winter Soldier, S1, E4",March,2021,January,2018,Bucky tests to see if he is cured of brainwashing
283,414,X-verse,Deadpool 2,May,2018,January,2018,Revised timeline after Days of Future Past
320,415,X-verse,Once Upon a deadpool,December,2018,March,2018,Revised timeline after Days of Future Past
507,416,Flashback,Deadpool and Wolverine,July,2024,March,2018,Deadpool interviews with Happy Hogan in hopes of joining the Avengers; this is also part of the X-Verse
310,417,Netflix Shows,"Iron Fist S2, E10",September,2018,April,2018,Epilogue
329,418,Flashback - Netflix,"Punisher S2, E4",January,2019,April,2018,John Pilgrim is pulled back into his old life 
330,419,Netflix Shows,Punisher S2,January,2019,Apr - May,2018,
357,420,Flashback - Netflix,"Jessica Jones S3, E4",June,2019,April,2018,Erik Gelden is warned about paying off his debt 
358,421,Netflix Shows,Jessica Jones S3,June,2019,Apr - May,2018,
298,422,MCU Movie,Ant-man and the Wasp,July,2018,Apr - May,2018,Both post credit scenes happen during the end of “Avengers: Infinity War”
270,423,ABC TV,"Agents of S.H.I.E.L.D, S5, E14-22",March,2018,May,2018,
233,424,Post-Credit,Guardians of the Galaxy 2,May,2017,May,2018,Quill and Groot mid-credit scene
250,425,Post-Credit,Thor: Ragnarok,November,2017,May,2018,First post credit scene
282,426,MCU Movie,Avengers: Infinity War,April,2018,May,2018,
344,427,Flashback,Avengers: Endgame,April,2019,May,2018,Hawkeye's family is blipped
299,428,Post-Credit,Ant-man and the Wasp,July,2018,May,2018,"Hank, Janet and Hope are blipped"
422,429,Flashback,"Hawkeye, S1, E5",November,2021,May,2018,Yelena is blipped
362,430,Flashback,Spider-man: Far From Home,July,2019,May,2018,Midtown High students are blipped
342,431,Post-Credit,Captain Marvel,March,2019,May,2018,First post credit scene
345,432,MCU Movie,Avengers: Endgame,April,2019,June,2018,Opening scenes
285,433,MV - Lego Shorts,LEGO Marvel Superheroes : Trouble in Wakanda,June,2018,June,2018,
331,434,Netflix Shows,"Punisher S2, E13",January,2019,August,2018,Epilogue
300,435,MV - Game,Spider-Man,September,2018,Oct - Jan,2018 - 2019,"Playstation 4, Playstation 5, Microsoft Windows"
370,436,MV - Game,Iron Man VR,July,2020,November,2018,"Playstation VR, Meta Quest 2"
352,437,ABC TV,"Agents of S.H.I.E.L.D, S6, E1-13",May,2019,June,2019,
369,438,ABC TV,"Agents of S.H.I.E.L.D, S7, E1-13",May,2020,June,"2019, 2020","The episodes time jump to 1931, 1955, 1973, 1976, 1982 and 1983"
431,439,News,"Daily Bugle, S3",March,2022,June,2019,
366,440,MV - Lego Shorts,LEGO Marvel - Spider-Man: Vexed by Venom,August,2019,August,2019,
374,441,MV - Game,Spider-Man: Miles Morales,November,2020,Dec - Jan,2019-2020,"Playstation 4, Playstation 5, Microsoft Windows"
490,442,Flashback,The Marvels,November,2023,August,2020,Carol visits Maria Rambeau and Maria passes away
372,443,Hulu / Freeform,Helstrom S1,October,2020,October,2020,
487,444,MV - Game,Spider-Man 2,October,2023,October,2020,Playstation 5
373,445,MV - Lego Shorts,LEGO Marvel - Avengers: Climate Conundrum,November,2020,November,2020,
423,446,Flashback,"Hawkeye, S1, E4",November,2021,June,2021,Ronin kills the Maya’s dad
500,447,Flashback,"Echo S1, E1",January,2024,June,2021,Kingpin takes Echo under his wing and trains her; she eventually fights Daredevil
390,448,MV - Animated,"M.O.D.O.K., S1",May,2021,May,2021,"2021-2021, 1 season, 10 episodes"
408,449,MV - Lego Shorts,LEGO Marvel - Avengers: Loki in Training,November,2021,November,2021,
419,450,MV - Animated,"Hit Monkey, S1",November,2021,November,2021,"2021-2024, 2 seasons, 20 episodes"
430,451,MV - Lego Shorts,LEGO Marvel - Avengers: Time Twisted,January,2022,January,2022,
435,452,Flashback,"Moon Knight, S1, E5",March,2022,February,2022,Marc Spector is shot by Bushman be saved by Khonshu
469,453,MV - Animated,"Moongirl & Devil Dinosaur, S1 - S2",February,2023,Sep - Mar,2023-2024,"2023-2025, 2 seasons, 40 episodes"
351,454,MCU Movie,Avengers: Endgame,April,2019,October,2023,All but the opening scenes
424,455,Flashback,"Hawkeye, S1, E5",November,2021,October,2023,Yelena returns from the blip
379,456,Flashback,"WandaVision, S1, E4",January,2021,October,2023,Monica returns from the blip
363,457,Flashback,Spider-man: Far From Home,July,2019,October,2023,Midtown High students return from the blip
392,458,MCU Show,"Loki, S1",June,2021,Outside time,Outside time,"“Loki” happens outside of time, after the initial scenes of ep 1 which follow ""Endgame"""
397,459,MCU Show,"What If?, S1, E1-8",August,2021,Various,Various,"“What If?” happens in branched universes, as a result of the end of “Loki” season 1"
492,460,MCU Show,"What If?, S2, E4",December,2023,Various,Various,"The prologue has a mild spoiler for S1, E9 but S2, E4 actually happens prior to S1, E9"
398,461,MCU Show,"What If?, S1, E9",August,2021,Various,Various,
488,462,MV - Lego Shorts,LEGO Marvel - Avengers: Code Red,October,2023,October,2023,
380,463,Flashback,"WandaVision, S1, E8",January,2021,October,2023,Wanda visits S.W.O.R.D. HQ and sees Vision's body
381,464,Flashback,"WandaVision, S1, E8",January,2021,November,2023,Wanda visits Westview and creates the hex
382,465,Flashback,"WandaVision, S1, E8",January,2021,November,2023,Monica returns to S.W.O.R.D. and then Westview
383,466,MCU Show,"WandaVision, S1",January,2021,November,2023,
512,467,Flashback,"Agatha All Along, S1, E6",September,2024,November,2023,William Kaplan is killed
405,468,MCU Movie,Shang Chi,September,2021,Mar - Apr,2024,
388,469,MCU Show,"The Falcon and the Winter Soldier, S1, E1-5",March,2021,April – May,2024,
465,470,Flashback,Wakanda Forever,November,2022,May,2024,T'Challa passes away
365,471,One Shot,Peter's To Do List,July,2019,June,2024,
364,472,MCU Movie,Spider-man: Far From Home,July,2019,June – July,2024,
367,473,News,"Daily Bugle, S1",October,2019,July,2024,
389,474,MCU Show,"The Falcon and the Winter Soldier, S1, E6",March,2021,July,2024,
506,475,MV - Animated,"Hit Monkey, S2",July,2024,July,2024,"2021-2024, 2 seasons, 20 episodes"
312,476,Sony Movie,Venom,October,2018,Oct - Apr,2018-2019,
321,477,Sony Movie,Spider-Man: Into the Spider-Verse,December,2018,December,2018,
332,478,Sony - One Shot,Caught in a Ham,February,2019,December,2018,Happens during Into the Spider-Verse
438,479,Sony Movie,Morbius,April,2022,June,2019,Post credits scenes seems to be a result of the Collider event in Into the Spider-Verse
505,480,Sony - One Shot,The Spider Within,April,2024,October,2019,
406,481,Sony Movie,Venom: Let There Be Carnage,October,2021,Oct - Nov,2020,Post Credits scene happens during the first act of “Spider-man: No Way Home”
427,482,MCU Movie,Spider-man: No Way Home,December,2021,July,2024,Peter meets with Matt Murdock
407,483,Sony - Post Credit,Venom: Let There Be Carnage,October,2021,Nov,2020,Post Credits scene happens during the first act of “Spider-man: No Way Home”
428,484,MCU Movie,Spider-man: No Way Home,December,2021,Sep - Nov,2024,Main body of the movie
439,485,Sony - Post Credit,Morbius,April,2022,Nov,2020,Post credits scenes seems to be a result of the Collider event in Into the Spider-Verse
514,486,Sony Movie,Venom: The Last Dance,October,2024,Nov,2020,"The movie references July, so it's hard to tell if this retcons the earlier movies or if it was a mistake"
479,487,Sony Movie,Spider-Man: Across the Spider-Verse,June,2023,Apr,2020,Happens after No Way Home and Venom:The Last Dance (Mrs. Chen returns to her store); may have retconned to 2023
516,488,Sony Movie,Kraven,December,2024,March,2022,
458,489,Flashback,"She-Hulk: Attorney at Law, S1, E1",August,2022,October,2024,Jennifer Walters becomes She-Hulk
417,490,Flashback,Eternals,November,2021,October,2024,Ikaris meets Ajak seven days before the Emergence
418,491,MCU Movie,Eternals,November,2021,October,2024,
426,492,News,"Daily Bugle, S2",November,2021,July - Nov,2024,
440,493,MCU Movie,Doctor Strange: Multiverse of Madness,May,2022,November,2024,
429,494,MCU Movie,Spider-man: No Way Home,December,2021,December,2024,Epilogue
396,495,Post-Credit,Black Widow,July,2021,December,2024,Val meets with Yelena
425,496,MCU Show,"Hawkeye, S1",November,2021,December,2024,Black Widow post credit scene happens after opening scene of Episode 4
453,497,MCU Movie,Thor: Love and Thunder,July,2022,February,2025,Gorr's daughter dies and he takes his vow
436,498,Flashback,"Moon Knight, S1, E5",March,2022,February,2025,Marc Spector avoids his mother’s shiva; Steven Grant personality takes over
459,499,MCU Show,"She-Hulk: Attorney at Law, S1, E1-3",August,2022,April,2025,
484,500,MCU Book,Look Out for the Little Guy!,September,2023,April,2025,Release date for Scott Lang's book
437,501,MCU Show,"Moon Knight, S1",March,2022,April - May,2025,
454,502,MCU Movie,Thor: Love and Thunder,July,2022,April - May,2025,Jane takes her final blood test and heads to New Asgard
466,503,MCU Movie,Wakanda Forever,November,2022,May,2025,
501,504,MCU Show,"Echo, S1",January,2024,May,2025,
461,505,Post-Credit,"Spider-man: No Way Home, The More Fun Stuff Version",September,2022,June,2025,End-credit scene
460,506,MCU Show,"She-Hulk: Attorney at Law, S1, E4-9",August,2022,May – Aug,2025,
446,507,MCU Show,"Ms. Marvel, S1",June,2022,Sep – Oct,2025,
455,508,MCU Movie,Thor: Love and Thunder,July,2022,October,2025,Korg retells the entire story of the movie in October of 2025
522,509,Flashback,"Daredevil: Born Again, S1, E9",March,2025,October,2025,Vanessa hires Bullseye
523,510,MCU Show,"Daredevil: Born Again, S1, E1",March,2025,October,2025,Opening scene before the 1 year time jump
462,511,MCU Special,Werewolf By Night,October,2022,October 31,2025,
468,512,MCU Special,Guardians of the Galaxy Holiday Special,November,2022,Dec 24 - 25,2025,
472,513,MCU Movie,Ant-Man and the Wasp: Quantumania,February,2023,July,2026,
478,514,MCU Movie,Guardians of the Galaxy Vol 3,May,2023,August,2026,
483,515,MCU Show,"Secret Invasion, S1",June,2023,August,2026,
491,516,MCU Movie,The Marvels,November,2023,September,2026,
486,517,MCU Show,"Loki, S2",October,2023,Outside time,Outside time,The season picks up after the end of Loki season 1 and runs until after The Marvels; Epilogue happens after Quantumania
493,518,MCU Show,"What If?, S2, E1-3 & 5-9",December,2023,Various,Various,Episode 4 takes place during Season 1 before Episode 9
508,519,MCU Movie,Deadpool and Wolverine,July,2024,October,2024,"The movie is after Loki season 2, but Paradox jumps into Deadpool's timeline in 2024; this is also part of the X-Verse"
513,520,MCU Show,"Agatha All Along, S1",September,2024,October,2026,
517,521,MCU Show,"What If?, S3",December,2024,Various,Various,"Waiting for confirmation from Marvel on the offiicial placement, but will place it here for now"
520,522,Flashback,Captain America: Brave New World,February,2025,November,2026,Ross celebrates his victory in the 2026 Presidential election
524,523,MCU Show,"Daredevil: Born Again, S1, E1 - 9",March,2025,Oct - Apr,2026-2027,After the 1 year time jump
521,524,MCU Movie,Captain America: Brave New World,February,2025,April,2027,
